,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000000003,-0.40879620091998703,5.819697560335337,-3.465637913455859,0.0006071771018596574,0.0009493774251754942,-2.055198058205632
ENSG00000000005,-5.311492839735072,-0.6774888161545415,-16.01539297967407,5.0901281277024243e-42,1.7781420325325409e-40,84.70192326653893
ENSG00000000419,0.68537420404438,5.253225705675116,8.978082825636898,3.2577287778063114e-17,1.4535020380863808e-16,27.808425021265293
ENSG00000000457,0.09965340595912942,4.5216194525445434,1.2406337451855942,0.21572215908612144,0.24895319710864558,-7.057869676948378
ENSG00000000460,1.6065989209722509,3.165141905825199,15.075314255504354,1.6343550275957758e-38,4.238669162415175e-37,76.74921909060117
ENSG00000000938,0.1594101183128087,3.2129801692931865,1.1679197866597004,0.24377772584278096,0.278767104668185,-6.986534326099998
ENSG00000000971,-1.2810188974889645,5.7709575487302365,-7.952795386078179,3.875145413309837e-14,1.370556914762259e-13,20.778990191670196
ENSG00000001036,0.5979128796537241,5.343281104896968,7.112795562828487,8.562758719133321e-12,2.5610208779442417e-11,15.485812453287329
ENSG00000001084,-0.3086674011018822,5.24197980204984,-3.4220638785331623,0.000708881414085918,0.0011010360961867746,-2.1606127742968946
ENSG00000001167,0.8791915427704691,5.6131985971994105,10.54568067824683,2.7393091432259193e-22,1.8138222970673324e-21,39.37416851169371
ENSG00000001460,-0.013921613312886105,3.5189930118263337,-0.21624365523452635,0.8289465690128646,0.8491082932879515,-7.67120838749833
ENSG00000001461,-0.3491138110609979,5.609256806417581,-3.7856720578911545,0.00018553998838175649,0.00030454812524143823,-0.9284484883145465
ENSG00000001497,0.6281451794772153,5.7534203537656605,10.44392059637584,6.00883689086758e-22,3.861142303172951e-21,38.58579926794748
ENSG00000001561,-0.8193765071857078,4.618502003789391,-6.475671895085129,3.9141335658432353e-10,1.0296902581274994e-09,11.809087849390181
ENSG00000001617,0.040061823618517955,6.039206788986992,0.3828577797495438,0.7020996484477795,0.732048696683675,-7.8670693425889535
ENSG00000001626,-1.95445879864098,-1.2018938076181693,-7.860604570159942,7.136161699689005e-14,2.477517408512527e-13,20.85696510578802
ENSG00000001629,0.2721014531556829,6.24801023797355,3.3649903099573417,0.0008662775846993014,0.0013342657744783949,-2.392238989402471
ENSG00000001630,0.1639855782310801,0.43920756926999066,0.8753065226148008,0.3821158701743572,0.42080003865667287,-6.901286200893997
ENSG00000001631,0.07892031034323432,2.7198161738577857,1.3463383457750941,0.17922209006673623,0.20938918226541084,-6.655277991997047
ENSG00000002016,-0.28558630519102346,3.217383024111745,-3.6217664940986185,0.0003440933282735955,0.000550011388387366,-1.2201097548713609
ENSG00000002330,0.40785681927274275,2.803897233196329,3.1238610145790657,0.001961549534671742,0.0029179804891668183,-2.7497864283234934
ENSG00000002549,0.4182677414034215,6.92176797333969,4.241992987617341,2.9650077200343092e-05,5.19654473675598e-05,0.7910414562542041
ENSG00000002586,0.27684908408544207,7.355380660104591,2.272109849001386,0.02379639697587883,0.03135791593037056,-5.390772226101808
ENSG00000002587,-0.07796867377221828,2.372547489759197,-0.6750967611778496,0.5001405578978104,0.539400639758401,-7.32256687124549
ENSG00000002726,1.807256548423729,-0.6809057951981178,5.902220625532815,9.79767754759294e-09,2.311174119622056e-08,9.330479966384718
ENSG00000002746,-0.43590729958493096,-0.9380980987485338,-2.396563554764866,0.017169081976433357,0.02303376839412594,-4.317937201398976
ENSG00000002834,0.17271735540517774,7.94569331689559,1.6298055978470471,0.10420487511789794,0.12630627859140298,-6.618147545707262
ENSG00000002919,0.03164477354813311,4.804454882561702,0.422572157977391,0.6729138201382789,0.7045643945778418,-7.779592847207428
ENSG00000002933,0.23577006897871744,5.216119782294805,1.4806603076278728,0.13975960422233855,0.16586725230003638,-6.822197612498521
ENSG00000003056,0.12990645094628395,6.012036074333607,1.341961464005047,0.18063554433343387,0.21086927478404793,-7.057009767677432
ENSG00000003096,-2.736069911505507,3.331686039083961,-14.084068653692011,7.709227874469075e-35,1.4876661715655028e-33,68.27543277206846
ENSG00000003137,-0.9256487734613756,2.764632834560837,-4.512941378459785,9.231538284910833e-06,1.6963495910922532e-05,2.211812461154313
ENSG00000003147,0.11744134217828961,5.235682745441133,1.1428465168240487,0.25402456748991525,0.2894579760812873,-7.24005618856858
ENSG00000003249,2.2513732203003936,4.7112517827321705,13.099083777498887,3.06605778707481e-31,4.336778711082592e-30,59.982144803103424
ENSG00000003393,-0.23394941610998554,4.957248305282181,-3.528442967354918,0.0004843272974929728,0.0007634187082374693,-1.7768661903407006
ENSG00000003400,-0.44427106577069964,3.5943076963111045,-3.4593161683473377,0.0006210230105669354,0.0009702154962479008,-1.8732400960386402
ENSG00000003402,-0.5604946873170951,6.721535543385697,-7.784805652471006,1.1753917133871082e-13,4.0114345042207584e-13,19.666814434417162
ENSG00000003436,-1.9905999413725706,4.5297935592715275,-12.835339879415606,2.7521595774164014e-30,3.5565053170773525e-29,57.75396023019181
ENSG00000003509,0.2980967913330228,3.6685363604537495,5.671339765744759,3.365003769949842e-08,7.575512339789561e-08,7.566849433087716
ENSG00000003756,-0.7223746196734027,6.028317098979523,-12.13052238151366,9.072317215064026e-28,9.440359466025723e-27,51.899955179740715
ENSG00000003987,-0.32358255595326074,0.5909561856467451,-2.136371151164653,0.033468039607562866,0.043240438929165896,-5.050711791501931
ENSG00000003989,-3.2119243616229376,5.654933588628173,-10.785283367619856,4.263591539112068e-23,3.0084867241455305e-22,41.341707749720136
ENSG00000004059,0.9328709270739575,6.38986232044244,11.516474797758864,1.3032883186548827e-25,1.1199535050793957e-24,46.954085758611086
ENSG00000004139,-1.0889605742915922,1.9848393458124622,-9.170307422345454,8.186364911896136e-18,3.8088289994413003e-17,29.536836816922197
ENSG00000004142,0.42172313446909193,6.836313226327498,5.376189410497336,1.5439927977429713e-07,3.284168049709455e-07,5.8556724238735125
ENSG00000004399,-0.031541706499868205,7.264566890403725,-0.31096804414459817,0.7560435033271448,0.7829519198606305,-7.908396313217294
ENSG00000004455,0.556742629307486,7.071514235845125,8.533896991822452,7.442919488462459e-16,2.9853099853015768e-15,24.666950829570244
ENSG00000004468,1.0578026646779544,2.0108302368528443,4.497253207388039,9.892254682096323e-06,1.811884320702509e-05,2.270287619448732
ENSG00000004478,0.9862265059448623,7.588044091687654,9.054092646510691,1.891886599927643e-17,8.590672057320785e-17,28.30442155350973
ENSG00000004487,0.7455641452495412,6.7322128531184084,11.710339913096957,2.742582024649923e-26,2.5040791640102006e-25,48.50027759500668
ENSG00000004534,-0.33393740579597075,6.193246281059431,-5.124478864012407,5.38891986531017e-07,1.093871174136288e-06,4.647602550871527
ENSG00000004660,-0.07503893599669631,3.5012248771142067,-0.7094583254061515,0.478597793153144,0.518079201931842,-7.430939479188136
