,logFC,logCPM,F,PValue,FDR
ENSG00000000003,-0.20279355336233182,6.090404121649655,2.8122919277696887,0.09459548434500288,0.11372257694272912
ENSG00000000005,-4.1296376708336275,2.4024010081702785,148.8491962676287,5.346417022821952e-28,5.0850789374235846e-27
ENSG00000000419,0.7551446699969522,5.389156910636457,99.56503442834013,2.049001312201171e-20,1.0666557777519403e-19
ENSG00000000457,0.23707299262631665,4.6473567253351975,8.898523864002735,0.0030903445139167994,0.004371131018587764
ENSG00000000460,1.7716501503680127,3.5034507813934166,311.3477971530704,3.5753397737986284e-48,2.289564329803444e-46
ENSG00000000938,0.23291812845836077,3.5951986759076027,2.6745564151017964,0.10302201165213389,0.12327437101703792
ENSG00000000971,-1.294115777312234,6.311120021727863,73.41937485807533,5.786754689664378e-16,2.1833439455616265e-15
ENSG00000001036,0.6419480416906854,5.487820445863805,61.62620453807385,7.568925658217136e-14,2.446522746465034e-13
ENSG00000001084,-0.2901933377525581,5.398370595920365,10.000875406068975,0.0017262642632725309,0.002504415816505009
ENSG00000001167,1.0279955043705482,5.788065832219388,159.32641647803993,1.5282240098300695e-29,1.66917410980213e-28
ENSG00000001460,0.07282685374917323,3.5903400602558633,1.3601493138912686,0.24444602513360844,0.2769736547278279
ENSG00000001461,-0.20578562696533828,5.7585165746850455,5.24007007417273,0.02277290252162372,0.029457007765069307
ENSG00000001497,0.6775601419796208,5.841569422582749,130.93509026812617,2.277037411122476e-25,1.7224240513988343e-24
ENSG00000001561,-0.6833594796442313,4.925312338207907,30.976425771614107,5.8337436209837935e-08,1.2116535817924688e-07
ENSG00000001617,0.229966476306473,6.35051106331126,5.266341420687864,0.022437782061148204,0.029035576938505902
ENSG00000001626,-0.18127114649165502,0.561833551436689,0.4103239784587672,0.5223024165387363,0.5582151855771508
ENSG00000001629,0.3247725130242454,6.362671227256461,17.87897152103628,3.136411391182363e-05,5.28739240927867e-05
