,logFC,logCPM,F,PValue,FDR
ENSG00000000003,-0.3477730816156775,6.090404121649655,8.264623104139371,0.004334244362812978,0.0063426228940553974
ENSG00000000005,-3.496819963641226,2.4024010081702785,113.87717389633546,1.062579931687273e-22,8.982451239882601e-22
ENSG00000000419,0.61818873256629,5.389156910636457,67.02042172203338,7.969971422678525e-15,3.273237329950928e-14
ENSG00000000457,0.46237985148207755,4.6473567253351975,33.71706903076133,1.6346402859750034e-08,3.9903575336092156e-08
ENSG00000000460,1.2029642277753425,3.5034507813934166,148.1176212481356,6.3423835160059535e-28,9.499256956976012e-27
ENSG00000000938,-0.281165453783901,3.5951986759076027,3.9012843315805155,0.0491740260870013,0.06293307839974227
ENSG00000000971,-1.3081299175283756,6.311120021727863,74.97735197727975,3.0771481002319675e-16,1.4238948855787567e-15
ENSG00000001036,0.5442000535091438,5.487820445863805,44.41154886341161,1.2892582134590855e-10,3.7498583502055437e-10
ENSG00000001084,-0.14244903560947558,5.398370595920365,2.4114035987053857,0.12151747010215626,0.14698590940165726
ENSG00000001167,0.5991373830877372,5.788065832219388,54.97376545564221,1.2790468351851418e-12,4.379581902788311e-12
ENSG00000001460,-0.0019988074202273633,3.5903400602558633,0.0010251961300526949,0.9744786289190157,0.9777729063187741
ENSG00000001461,-0.2365711082744936,5.7585165746850455,6.9250171246072405,0.008943008057366062,0.012593215427719557
ENSG00000001497,0.4688577700194209,5.841569422582749,63.06100797703293,4.1444407331621e-14,1.60715257713393e-13
ENSG00000001561,0.03433555968450161,4.925312338207907,0.0786826794532726,0.7792856558241832,0.8049418592640116
ENSG00000001617,1.3671059713684122,6.35051106331126,178.7330163939029,3.028821706256964e-32,7.779661687541068e-31
ENSG00000001626,-1.4687901541993287,0.561833551436689,25.367942992664986,8.265623903143743e-07,1.736616869268369e-06
ENSG00000001629,0.3834491018234487,6.362671227256461,24.896101534507743,1.031086781912888e-06,2.143445440243368e-06
ENSG00000001630,0.9686277783748104,0.9585827210386343,38.99827754001866,1.4726227081077568e-09,3.932672382020415e-09
ENSG00000001631,0.1623394054318582,2.788134450582001,7.379292765561627,0.006984531524465279,0.009963667605735142
ENSG00000002016,-0.12168455703620394,3.334068702870866,2.353948846503525,0.12602947193707703,0.15198149721084764
ENSG00000002330,0.7626455323639504,3.114658563718782,37.41175524520158,3.0066443892353515e-09,7.823718819136075e-09
ENSG00000002549,0.3619914154993733,7.106645009644918,14.54483816595784,0.00016641768599265938,0.00028317811542239856
ENSG00000002586,0.046228891961184494,7.6100402765475375,0.15515485721166955,0.6939393806080932,0.7264975352998564
ENSG00000002587,-0.6892805440790944,2.6650261476789896,34.28496402009509,1.2593914964037229e-08,3.107185854499698e-08
ENSG00000002726,5.217243236639584,2.489999205166841,185.28683251418022,3.93315135755827e-33,1.1194215713087076e-31
ENSG00000002746,-1.0048488764833852,-0.20384621188696156,30.36375470181399,7.81376546603276e-08,1.8004879907498037e-07
ENSG00000002834,0.9153457612854953,8.266638594420172,54.01673580609764,1.9320553119687407e-12,6.5200328963189826e-12
ENSG00000002919,0.20755465712782512,4.932473624959542,6.203826938046944,0.013292692825071185,0.018357464042541072
ENSG00000002933,0.5938434828993024,5.696853384313541,13.808588024017055,0.00024176646306054385,0.0004038944959143312
ENSG00000003056,0.16513289362808653,6.140974011002477,3.936258340157947,0.04817457887100327,0.06172192896467206
ENSG00000003096,-3.0839039501577,4.6167545137301875,204.253168662828,1.2529448110938538e-35,5.006157056120507e-34
ENSG00000003137,-1.7079150103613774,3.805134495642232,58.3189130708687,3.070708658588147e-13,1.1080505829204893e-12
ENSG00000003147,0.907019719620349,5.43996757248888,93.99907295306429,1.7088037999845823e-19,1.0629714655991918e-18
ENSG00000003249,1.8382125471769408,5.3997026205382195,141.14547712264164,6.717445508145629e-27,8.984943745122684e-26
ENSG00000003393,-0.011091328198567924,5.033702597107603,0.02964619469273989,0.86341253854805,0.8802752383224041
